asv_id,kingdom,phylum,class,order,family,genus,species,Taxonomy
ASV92,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,Unassigned,Bacteria{superkingdom}(98);Proteobacteria{phylum}(98);Alphaproteobacteria{class}(98);Rhodobacterales{order}(98);Rhodobacteraceae{family}(98);{genus}(98);Unassigned{species}(0)
ASV93,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,,,Unassigned,Bacteria{superkingdom}(99);Proteobacteria{phylum}(99);Gammaproteobacteria{class}(99);Gammaproteobacteria_incertae_sedis{order}(99);{family}(99);{genus}(99);Unassigned{species}(0)
ASV94,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,Flavobacterium_sp._SCGC_AAA298-O21,Bacteria{superkingdom}(91);Bacteroidetes{phylum}(91);Flavobacteriia{class}(91);Flavobacteriales{order}(91);Flavobacteriaceae{family}(91);{genus}(91);Flavobacterium_sp._SCGC_AAA298-O21{species}(91)
ASV97,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Unassigned,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);Rhodospirillales{order}(100);Rhodospirillaceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0)
ASV98,Bacteria,Bacteroidetes,,,,,marine_bacterium_enrichment_culture_clone_O11-H6-S7,Bacteria{superkingdom}(100);Bacteroidetes{phylum}(100);{class}(100);{order}(100);{family}(100);{genus}(100);marine_bacterium_enrichment_culture_clone_O11-H6-S7{species}(100)
ASV99,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV100,Bacteria,Proteobacteria,Alphaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);Unassigned{order}(0);Unassigned{family}(0);Unassigned{genus}(0);Unassigned{species}(0)
ASV102,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oleibacter,Oleibacter_marinus,Bacteria{superkingdom}(86);Proteobacteria{phylum}(86);Gammaproteobacteria{class}(86);Oceanospirillales{order}(86);Oceanospirillaceae{family}(86);Oleibacter{genus}(86);Oleibacter_marinus{species}(86)
ASV103,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Unassigned,Bacteria{superkingdom}(99);Proteobacteria{phylum}(99);Gammaproteobacteria{class}(99);{order}(99);{family}(99);{genus}(99);Unassigned{species}(0)
ASV104,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Gammaproteobacteria{class}(100);{order}(100);{family}(100);{genus}(100);Unassigned{species}(0)
ASV106,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV107,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV108,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,,uncultured_bacterium,Bacteria{superkingdom}(93);Bacteroidetes{phylum}(93);Sphingobacteriia{class}(93);Sphingobacteriales{order}(93);Saprospiraceae{family}(93);{genus}(93);uncultured_bacterium{species}(93)
ASV109,Bacteria,Proteobacteria,Alphaproteobacteria,,,,alpha_proteobacterium_SCGC_AAA076-K15,Bacteria{superkingdom}(93);Proteobacteria{phylum}(93);Alphaproteobacteria{class}(93);{order}(93);{family}(93);{genus}(93);alpha_proteobacterium_SCGC_AAA076-K15{species}(93)
ASV110,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);Rhodobacterales{order}(100);Rhodobacteraceae{family}(100);{genus}(100);Unassigned{species}(0)
ASV112,Bacteria,Proteobacteria,Gammaproteobacteria,,,,unidentified_marine_bacterioplankton,Bacteria{superkingdom}(93);Proteobacteria{phylum}(93);Gammaproteobacteria{class}(93);{order}(93);{family}(93);{genus}(93);unidentified_marine_bacterioplankton{species}(93)
ASV113,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Balneola,Unassigned,Bacteria{superkingdom}(92);Bacteroidetes{phylum}(92);Sphingobacteriia{class}(92);Sphingobacteriales{order}(92);Chitinophagaceae{family}(92);Balneola{genus}(92);Unassigned{species}(0)
