,E101_1,E101_2,E101_3,E103_1,E103_2,E103_3,E105_1,E105_2,E105_3,E107_1,E107_2,E107_3,E201_1,E201_2,E201_3,E203_1,E203_2,E203_3,E205_1,E205_2,E205_3,E207_1,E207_2,E207_3,E209_1,E209_2,E209_3,E303_1,E303_2,E303_3,E305_1,E305_2,E305_3,E307_1,E307_2,E307_3,E309_1,E309_2,E309_3,E401_1,E401_2,E401_3,E403_1,E403_2,E403_3,E405_1,E405_2,E405_3,E407_1,E407_2,E407_3,E501_1,E501_2,E501_3,E503_1,E503_2,E503_3,E505_1,E505_2,E505_3,E507_1,E507_2,E507_3,E509_1,E509_2,E509_3,E603_1,E603_2,E603_3,E605_1,E605_2,E605_3,E607_1,E607_2,E607_3,E609_1,E609_2,E609_3
ASV28,8,73,90,0,37,120,69,88,155,76,28,89,11,56,174,90,32,259,114,153,68,82,123,62,71,50,24,25,100,109,13,117,56,19,72,28,94,43,26,131,140,100,17,118,79,9,31,94,25,132,66,117,172,135,27,150,117,33,125,153,32,89,84,200,105,14,112,143,214,28,98,82,5,16,139,121,89,74
ASV29,123,160,118,217,110,98,177,63,108,178,16,83,28,64,131,227,65,122,527,111,128,349,75,112,384,133,97,125,94,153,175,156,121,118,90,78,279,122,78,44,101,92,123,69,112,96,110,146,167,167,161,55,72,102,96,177,181,685,264,178,255,178,146,634,189,44,102,173,136,51,163,117,127,112,277,301,315,213
ASV31,2,227,318,0,0,99,0,14,196,0,0,71,16,87,397,0,7,415,3,30,73,3,2,25,0,11,15,0,7,93,0,66,50,0,3,15,3,9,17,24,355,324,0,41,85,0,0,74,0,12,38,62,201,290,0,184,58,0,0,41,0,0,23,0,0,0,12,167,185,0,65,63,0,0,26,0,11,9
ASV32,0,68,132,0,27,396,0,84,308,0,34,223,4,45,262,6,59,376,5,205,361,9,111,518,7,454,266,0,85,250,0,385,244,0,110,229,0,467,259,11,168,295,0,97,298,0,0,332,0,332,386,46,103,205,0,172,205,0,0,238,0,0,311,0,338,57,12,349,250,0,83,165,2,0,202,8,310,266
ASV33,0,24,22,0,12,54,1,11,35,1,12,27,6,9,26,0,6,46,7,24,36,0,3,7,2,16,12,0,3,26,0,37,22,0,13,13,12,17,11,7,28,28,0,14,32,0,0,18,0,28,26,8,20,25,0,18,25,0,4,18,0,10,19,0,19,1,12,38,20,0,26,20,0,0,15,0,27,18
ASV35,0,250,262,0,0,243,0,48,188,26,0,113,21,159,275,0,48,240,110,171,137,119,43,54,138,83,61,27,76,162,37,192,97,50,56,58,64,98,48,90,254,184,0,73,153,0,0,133,68,97,83,253,352,305,0,279,127,65,74,170,89,88,86,332,62,0,288,189,271,30,183,159,35,25,127,222,105,113
ASV37,0,42,60,0,0,178,0,235,219,0,358,245,20,41,43,0,30,98,0,124,72,0,47,108,0,153,105,0,18,109,0,102,88,0,98,68,0,116,81,0,59,59,0,125,98,0,0,99,0,203,129,0,59,56,0,51,64,0,0,48,0,0,112,0,312,36,0,63,68,0,15,30,0,0,29,4,52,83
ASV38,12,111,113,0,82,92,95,57,88,90,29,80,12,55,112,88,29,91,301,125,124,220,71,107,307,121,101,15,48,127,13,156,112,48,110,78,365,134,81,0,67,99,0,53,126,12,0,158,64,175,169,44,53,110,0,141,175,18,121,200,98,200,160,230,207,41,45,141,129,0,95,130,43,43,229,134,235,224
ASV39,0,32,33,0,65,26,353,8,22,179,13,22,4,17,20,49,16,30,407,69,24,546,28,15,433,25,18,7,122,21,7,32,17,43,112,7,395,18,6,0,17,23,0,11,20,4,57,22,23,101,49,0,17,9,0,28,12,0,29,38,33,131,27,259,64,5,6,19,26,0,8,11,5,8,88,56,69,53
ASV41,99,9,8,33,106,14,110,95,18,34,112,9,130,46,0,147,47,11,21,40,0,35,0,19,37,14,15,160,114,9,107,23,0,564,81,10,17,12,14,157,20,14,90,62,10,398,134,9,514,15,11,65,11,21,397,11,26,25,60,14,237,193,68,6,28,26,27,0,5,2706,145,78,1503,1947,65,192,0,0
ASV42,30,53,40,0,194,57,21,71,72,81,67,44,39,76,26,51,111,58,39,60,18,63,83,2,31,10,6,21,88,40,16,21,13,19,95,8,12,15,9,74,53,24,10,121,31,12,17,15,19,46,25,38,57,44,12,31,22,10,55,26,12,31,25,28,19,0,23,44,48,13,46,36,0,4,18,32,31,21
ASV43,81,56,10,0,214,14,87,51,21,141,59,14,121,47,20,66,237,24,60,43,0,27,32,0,89,6,0,25,49,11,0,10,0,12,79,0,75,0,0,107,43,8,2,71,18,0,43,3,4,29,9,108,65,33,88,41,23,0,152,19,6,103,14,72,14,0,85,34,33,5,113,76,0,0,87,20,62,29
ASV44,1,69,74,0,6,43,0,21,44,0,8,34,4,29,86,0,17,53,0,26,38,0,18,30,1,17,15,0,8,46,0,62,48,0,10,9,0,34,13,6,79,63,0,23,34,0,0,28,0,17,22,7,48,91,0,63,35,0,0,43,0,0,18,0,6,0,0,67,57,0,28,34,0,0,21,0,14,11
ASV45,113,6,1,10,0,0,17,0,0,0,0,0,36,6,0,66,0,0,3,0,0,0,0,0,0,0,0,135,0,0,64,0,0,0,0,0,0,0,0,21,0,0,96,0,0,10,15,0,0,0,0,15,5,0,123,0,0,66,20,0,5,0,0,0,0,0,14,0,0,22,16,0,2,16,0,15,0,0
